institution,city,address,course,district,telephone,email
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",מתקין מתקן גז טבעי,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול הבטחת איכות-עדכון טכנולוגי,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול לוגיסטיקה ושרשרת אספקה מגמה 8119,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול מחסן ממוחשב,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול מלאי ורכש (8114),חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול מלאי ורכש מגמה 8114,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",ניהול מערכות משרד,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511",שיווק וקידום מכירות,חיפה והצפון,49808191,leah@erezcollege.org.il
"""ארז"" - מרכז לקידום החינוך והחברה בגליל המערבי",שלומי,"אזור תעשיה, ת.ד. 511","תי""בם חריטה וכרסום",חיפה והצפון,49808191,leah@erezcollege.org.il
"""בר טנדר"" - ביה""ס לברמנים",עומר,"רח' העומרים 9 , פארק תעשיה עומר",מוזגות,באר שבע והדרום,,
"""די-בר"" במלון ""עדי""",אילת,טופז 6,מוזגות,באר שבע והדרום,,
"""דיבר""",אילת,"מרכז החאן, רח' תרשיש 91",מוזגות,באר שבע והדרום,,
"""דקר""- בית הספר לשייט",חיפה,"ת.ד 83, מיקוד 00013",שייט,חיפה והצפון,,
"""האון"" בית ספר לנהיגה",טבריה,רח' השילוח ת.ד. 807,נהיגה מעשית על רכב משא 03 ומעלה,חיפה והצפון,6722345,haon1@bezeqint.net
"""האון"" בית ספר לנהיגה",טבריה,רח' השילוח ת.ד. 807,נהיגה מעשית על רכב משאc1 ומעלה,חיפה והצפון,6722345,haon1@bezeqint.net
"""טכנודע-מדעת""-המרכז לחינוך טכנולוגי ומדעי",גבעת אולגה,רח' הרב ניסים 2,יסודות בעיצוב אתרי אינטרנט,חיפה והצפון,,
"""מייק""- בי""ס לנהיגה",תל אביב - יפו,דרך בן צבי 48,נהיגה מעשית על אוטובוס,תל אביב והמרכז,,
"""ניל"" בי""ס למצילים מלון נהר הירדן",טבריה,בריכת מלון נהר הירדן,הצלה בבריכת שחיה סוג 1,חיפה והצפון,,
"""ניל"" בי""ס למצילים מלון נהר הירדן",טבריה,בריכת מלון נהר הירדן,מצילי בריכה,חיפה והצפון,,
"""ניל"" בית ספר למצילים רמת אגוז טבריה",טבריה,"בריכת רמת אגוז מתנ""ס רמת אגוז שיכון ד'",הצלה בבריכות שחיה- סוג 1(705),חיפה והצפון,,
"""ניל"" בית ספר למצילים רמת אגוז טבריה",טבריה,"בריכת רמת אגוז מתנ""ס רמת אגוז שיכון ד'",הצלה בבריכת שחיה סוג 1,חיפה והצפון,,
"""ניל"" בית ספר למצילים רמת אגוז טבריה",טבריה,"בריכת רמת אגוז מתנ""ס רמת אגוז שיכון ד'",מצילי בריכה,חיפה והצפון,,
"""סמיר""- בית ספר לנהיגה",ג'ולס,ת.ד. 765 מיקוד 08942,נהיגה מעשית על אוטובוס,חיפה והצפון,04-9964706,samer.h03@gmail.com
"""סמיר""- בית ספר לנהיגה",ג'ולס,ת.ד. 765 מיקוד 08942,נהיגה מעשית על רכב משא 03 ומעלה,חיפה והצפון,04-9964706,samer.h03@gmail.com
"""סמיר""- בית ספר לנהיגה",ג'ולס,ת.ד. 765 מיקוד 08942,נהיגה מעשית על רכב משאc1 ומעלה,חיפה והצפון,04-9964706,samer.h03@gmail.com
'האון'' בית ספר לנהיגה,טבריה,ת.ד 602,נהיגה מעשית על רכב משא (03),חיפה והצפון,506532222,haon1@bezeqint.net
'האון'' בית ספר לנהיגה,טבריה,ת.ד 602,נהיגה מעשית על רכב משאc1 ומעלה,חיפה והצפון,506532222,haon1@bezeqint.net
512253956,עפולה,"רח' שרת 11, מיקוד 00481",הצלה בבריכות שחיה סוג 1,חיפה והצפון,04-6521355,ditabartor@yahoo.com
512253956,עפולה,"רח' שרת 11, מיקוד 00481",מפעילי בריכות שחיה,חיפה והצפון,04-6521355,ditabartor@yahoo.com
512253956,עפולה,"רח' שרת 11, מיקוד 00481",מצילי בריכה,חיפה והצפון,04-6521355,ditabartor@yahoo.com
512253956,עפולה,"רח' שרת 11, מיקוד 00481",מצילי ים,חיפה והצפון,04-6521355,ditabartor@yahoo.com
"E.Y ביה""ס לאומנות עיצוב השיער",ראשון לציון,רוטשילד 45,ספרות נשים 1,תל אביב והמרכז,,
"J.A  סנטר - בי""ס לקוסמטיקה",רחובות,רח' הרצל 361,איפור מקצועי,תל אביב והמרכז,,
"J.A  סנטר - בי""ס לקוסמטיקה",רחובות,רח' הרצל 361,קוסמטיקה,תל אביב והמרכז,,
Js-fashion academy,אור עקיבא,השקד 496,עיצוב אופנה  תדמיתנות ותפירה,חיפה והצפון,522769176,JS Info <info@js-stylish.com>
Js-fashion academy,אור עקיבא,השקד 496,עיצוב שמלות כלה וערב,חיפה והצפון,522769176,JS Info <info@js-stylish.com>
Js-fashion academy,אור עקיבא,השקד 496,תפירה ושרטוט גזרות שלב א',חיפה והצפון,522769176,JS Info <info@js-stylish.com>
Js-fashion academy,אור עקיבא,השקד 496,תפירה ושרטוט גזרות שלב ב',חיפה והצפון,522769176,JS Info <info@js-stylish.com>
Js-fashion academy,אור עקיבא,השקד 496,תפירת שמלות כלה וערב,חיפה והצפון,522769176,JS Info <info@js-stylish.com>
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,איפור יופי מקצועי,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,בוחן מיכשור לרישוי רכב,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,בוחן רישוי רכב (1294),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,בניית ציפורניים 626,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,בקרים מתוכנתים-עידכון טכנולוגי,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,גרפיקה ממוחשבת (501),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,הבטחת איכות (2340),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,הכנה למבחני הסמכה בריתוך,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,הפעלת מחרטה וכרסומת CNC,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,הפעלת מחרטה וכרסומת CNC,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,התקנה ושירות למתקני קירור ומיזוג  אויר (מגמה 3821),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשב שכר  (8080),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשבי שכר,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמל מעשי תלת פאזי מגמה 3827,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי מוסמך,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי מוסמך (מקוצר) (1472),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי מוסמך (מקוצר) 1472,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי מוסמך (רצף ממעשי),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי מוסמך מקוצר,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי ראשי,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי ראשי (1422),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,חשמלאי ראשי (מסלול ארוך),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מבצע גרפי לתוכנות גרפיות מתקדמות מגמה 562,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מזכירות רפואית(804),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מחנכ/ת שנות ימקות סוג 2,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מחנכ/ת שנות ינקות -סוג 1 (918),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מינהל עסקי-למנהלי מוסך/מרכז שירותי רכב,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל חשבונות 1+2 וחשבי שכר,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל חשבונות סוג  - 2 מתקדם,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל חשבונות סוג 1  - בסיסי,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל חשבונות סוג 2-1 - בסיסי ומתקדם,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל/ת חשבונות 2+1(בסיסי+ מתקדם)וחשב שכר (8132),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל/ת חשבונות סוג 1+2 בכיר (8162),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מנהל/ת חשבונות סוג 3 ראשי (8033),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,מסגרות מבנים שלב א'+ריתוך,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,נהג רכב משא כבד- עיוני,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,נהג רכב ציבורי- עיוני,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,ניהול לוגיסטיקה ושרשרת אספקה מגמה 8119,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,ניהול מלאי ורכש מגמה 8114,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,ניהול קמפיינים ממומנים (PPC) מגמה 8151,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,ספרות נשים סוג 1 (605),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,עיצוב שיער - התמחות ספרות גברים,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,עיצוב תסרוקות 623,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,שמאות רכב (1296),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,תחזוקה ותיקון מכשירי סלולאר וסמארטפונים(3443),חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,תחזוקה ותיקון מכשירי סלולר וסמרטפונים,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,"תי""בם חריטה וכרסום",חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
MBC המכללה למדעים וטכנולוגיה,חצור,מפעל חרט הגליל אזור תעשיה חצור הגלילית,תפעול ואחזקת מתקני מתח גבוה,חיפה והצפון,04-6937711/2,mifnebagalil@gmail.com
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות - סוג 3,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות 1-2,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות 3,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות סוג 1+2 (8071),תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות סוג 3,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,הנהלת חשבונות סוג 3 (מורחב),תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,חשבי שכר- עדכון טכנולוגי,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,יועצי מס,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,יועצי מס,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מזכירות רפואית,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מזכירות רפואית,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מנהל חשבונות סוג  - 2 מתקדם,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מנהל חשבונות סוג -1 בסיסי,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מנהל חשבונות סוג 2-1 - בסיסי ומתקדם,תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
א א הדרכות איכות,אור יהודה,רח' החרושת 23,מנהל עסקים (לימודי תעודה),תל אביב והמרכז,03-5356118,shiran.dali@ono.ac.il
"א. עשתר 2011 בע""מ",ראשון לציון,סחרוב 91 א.ת קניון ערי החוף,בניית ציפורניים 626,תל אביב והמרכז,777008696,office@ashtarcosmetic.co.il
"א. עשתר 2011 בע""מ",ראשון לציון,סחרוב 91 א.ת קניון ערי החוף,פדיקור מניקור 627,תל אביב והמרכז,777008696,office@ashtarcosmetic.co.il
"א. עשתר 2011 בע""מ",ראשון לציון,סחרוב 91 א.ת קניון ערי החוף,קוסמטיקה סוג 1 (601),תל אביב והמרכז,777008696,office@ashtarcosmetic.co.il
א.א המכללה לעיצוב שיער,נתניה,רח' רזיאל 11,ספרות נשים 1,תל אביב והמרכז,,
א.א המכללה לעיצוב שיער,נתניה,רח' רזיאל 11,ספרות סוג 1,תל אביב והמרכז,,
א.א המכללה לעיצוב שיער,נתניה,רח' רזיאל 11,ספרות סוג 2,תל אביב והמרכז,,
"א.א-בית ספר לנהיגה  -פ""ת",פתח תקוה,"פינסקר 21, פ""ת 06594",נהיגה מעשית על אוטובוס,תל אביב והמרכז,03-9311780,yosialka1@hotmail.com
"א.א-בית ספר לנהיגה  -פ""ת",פתח תקוה,"פינסקר 21, פ""ת 06594",נהיגה מעשית על רכב גורר,תל אביב והמרכז,03-9311780,yosialka1@hotmail.com
"א.א-בית ספר לנהיגה  -פ""ת",פתח תקוה,"פינסקר 21, פ""ת 06594",נהיגה מעשית על רכב משא 03 ומעלה,תל אביב והמרכז,03-9311780,yosialka1@hotmail.com
"א.א-בית ספר לנהיגה  -פ""ת",פתח תקוה,"פינסקר 21, פ""ת 06594",נהיגה מעשית על רכב משאc1 ומעלה,תל אביב והמרכז,03-9311780,yosialka1@hotmail.com
"א.א. - המרכז ללמודי נהיגה כ""ס",כפר סבא,תל חי 13,נהיגה מעשית על רכב משאc1 ומעלה,תל אביב והמרכז,,
א.א. נץ   אחזקות,באר שבע,מבצע נחשון 27,מצילי בריכה,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",ACCESS,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",EXCEL,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",WORD,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",אינטרנט,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",גרפיקה ממוחשבת לדפוס,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",הכרת המחשב,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",הנהלת חשבונות 1-2,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",מזכירות משפטית,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",מזכירות רפואית,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",מטפלות במעונות יום,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",ניהול מערכות משרדיות,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",עיצוב אתרים,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",פקידות מזכירות סוג 1-2,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",תוכנות פריהנד פוטושופ ופלאש,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",תחזוקת מחשבים אישיים,באר שבע והדרום,,
"א.ב. קידמה והדרכה בנגב בע""מ",באר שבע,"הרצל 19,בית עציון",תחזוקת רשתות תקשורת,באר שבע והדרום,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,אומנויות התפירה,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,דיגום חופשי - מחומר למוצר,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,יסודות בדיגום-  בגדי נשים,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,ציור אופנה- טקסטיל ואביזרים - מעבר לעתיד,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,שרטוט ודירוג תדמיות יסוד,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,שרטוט- דיגום- דירוג ואביזרים - בגדי נשים,חיפה והצפון,,
"א.ב.סילבר בע""מ",תפן,רח דולב 3 אזור תעשייה תפן,תפירה בסיסית-לבוש וטקסטיל לבית,חיפה והצפון,,
"א.ב.ש ריטייל הדרכות בע""מ",גבעת שמואל,בן גוריון 11א',שיווק וניהול חנות/עסק,תל אביב והמרכז,,
